model,mae,rmse,details
TimesFM,1.8349714269113258,2.117659113352677,"checkpoint=google/timesfm-2.5-200m-pytorch, test_size=14"
ARIMA,1.6870906359926685,2.174270211694966,"order=(3, 1, 3), test_size=14"
Prophet,1.9500179534574476,2.390775764789044,"weekly_seasonality=True, test_size=14"
HoltWinters,1.9901008719114113,2.441834255828148,"trend=add, seasonal=add, seasonal_periods=7, test_size=14"
