DateStr,MediaGroup,TotalEvents,TotalArticles,TotalMentions,TotalSources,AvgTone,WeightedTone,AvgGoldstein,MinTone,MaxTone,StdTone,Date
2025-02-06,Global/Other,287,1075,1083,302,-2.6436826087169436,-2.7862785621248656,-0.9087108013937283,-17.3076923076923,5.07399577167019,3.2013819822901346,2025-02-06
2025-02-06,Western,23,71,71,23,-2.8154988406844015,-2.765966844948976,-0.18260869565217397,-4.4404973357016,-1.28388017118403,0.9456138390201757,2025-02-06
2025-02-07,Chinese,17,60,90,17,-0.7460932272710277,-0.968758432732837,1.2352941176470589,-2.34375,1.69286577992745,1.5513234549467765,2025-02-07
2025-02-07,Global/Other,278,943,945,284,-2.3903420773891546,-2.5366221356717076,-1.393525179856115,-11.1111111111111,6.56934306569343,2.9890087254693,2025-02-07
2025-02-07,Western,13,36,36,14,-2.956005647816521,-3.0918983922798073,-2.230769230769231,-6.11439842209073,1.06837606837607,2.67895440730687,2025-02-07
2025-02-08,Chinese,13,51,51,13,-0.5731174632166846,0.34379357908141567,-1.646153846153846,-4.60251046025104,4.62962962962963,2.8703911044425934,2025-02-08
2025-02-08,Global/Other,137,528,530,142,-2.19243411033031,-2.0070957897408923,-1.5999999999999999,-9.09090909090909,10.7981220657277,3.2520816397619385,2025-02-08
2025-02-08,Western,2,11,11,2,-1.6232538046409999,-1.313262222884231,-5.0,-2.75988960441582,-0.48661800486618,1.60744576352034,2025-02-08
2025-02-09,Chinese,2,6,6,2,3.099841114762513,2.2584072659567833,-0.5,0.575539568345325,5.6241426611797,3.5699014824625634,2025-02-09
2025-02-09,Global/Other,135,551,551,140,-2.142201885280998,-2.2784185352858803,-1.322962962962963,-8.77862595419851,6.18556701030928,2.3965720191323436,2025-02-09
2025-02-09,Western,6,30,30,6,-2.5246909239279933,-2.4681458563724865,-0.3,-5.0919377652051,-1.49544863459038,1.4435802941187648,2025-02-09
2025-02-10,Chinese,3,12,12,3,-3.623245680701219,-6.03384506257283,-4.666666666666667,-8.44444444444444,6.01915184678522,8.350561212191517,2025-02-10
2025-02-10,Global/Other,195,817,817,201,-2.0205593399868094,-2.3176550298919154,-1.8276923076923075,-16.4556962025316,6.21621621621622,3.0064659052608342,2025-02-10
2025-02-10,Western,11,28,28,12,-1.4544672215507772,-1.177333960480634,0.9636363636363636,-3.04,0.45045045045045,1.1892921900308262,2025-02-10
2025-02-11,Chinese,11,43,43,11,0.6758627520048183,0.9040037550012728,-1.6545454545454545,-1.99004975124378,3.17195325542571,2.041643910712466,2025-02-11
2025-02-11,Global/Other,248,901,912,267,-2.062110354541016,-2.2176094003753852,-1.8995967741935484,-7.29411764705882,6.75620675620676,2.5877405965306313,2025-02-11
