DateStr,Date,WesternTone,ChineseTone,GlobalTone,WesternArticles,ChineseArticles,GlobalArticles,ToneGap,AbsToneGap
2025-02-01,2025-02-01,-1.0014025037872556,-3.868174835916773,-2.3854546748667413,47,30,641,2.8667723321295173,2.8667723321295173
2025-02-02,2025-02-02,-4.986846464275098,,-2.898667310402767,42,,1084,,
2025-02-03,2025-02-03,-2.1677742805543696,1.5355362557171501,-2.301507377995809,103,4,1442,-3.7033105362715197,3.7033105362715197
2025-02-04,2025-02-04,-1.9757648845829898,-0.38281537937317,-3.075710743528648,157,20,2085,-1.5929495052098197,1.5929495052098197
2025-02-05,2025-02-05,-4.578811476726778,1.1905157100664405,-2.374351316910717,60,17,1501,-5.769327186793219,5.769327186793219
2025-02-06,2025-02-06,-2.765966844948976,1.2041055548588917,-2.7862785621248656,71,11,1075,-3.9700723998078677,3.9700723998078677
2025-02-07,2025-02-07,-3.0918983922798073,-0.968758432732837,-2.5366221356717076,36,60,943,-2.1231399595469704,2.1231399595469704
2025-02-08,2025-02-08,-1.313262222884231,0.34379357908141567,-2.0070957897408923,11,51,528,-1.6570558019656467,1.6570558019656467
2025-02-09,2025-02-09,-2.4681458563724865,2.2584072659567833,-2.2784185352858803,30,6,551,-4.726553122329269,4.726553122329269
2025-02-10,2025-02-10,-1.177333960480634,-6.03384506257283,-2.3176550298919154,28,12,817,4.856511102092195,4.856511102092195
2025-02-11,2025-02-11,-1.5131967077054789,0.9040037550012728,-2.2176094003753852,57,43,901,-2.417200462706752,2.417200462706752
2025-02-12,2025-02-12,-2.8252715927673813,0.8865781705662635,-1.9030863191495155,42,11,704,-3.7118497633336447,3.7118497633336447
2025-02-13,2025-02-13,-2.7396282875380806,5.360844168079895,-1.8685249923174638,43,20,1163,-8.100472455617975,8.100472455617975
2025-02-14,2025-02-14,-2.874751787388859,-3.704108460491436,-1.7925490613976198,69,40,871,0.829356673102577,0.829356673102577
2025-02-15,2025-02-15,-2.9659509576367786,-1.5026610278521855,-2.3681428988075495,29,17,400,-1.4632899297845932,1.4632899297845932
2025-02-16,2025-02-16,,-0.837293179135577,-0.9944787020259553,,17,319,,
2025-02-17,2025-02-17,-1.1273391627227243,-4.436132338302829,-2.1072626664502376,79,38,666,3.3087931755801048,3.3087931755801048
